Common-Name	Pathway	Pathway_parent_1	Pathway_parent_2	Pathway_parent_3	Pathway_parent_4	Pathway_parent_5	Pathway_parent_6	Pathway_parent_7
pyrimidine deoxyribonucleosides salvage	PWY-7199	Pyrimidine-Nucleotide-Salvage	PYR-NUC-SYN	Nucleotide-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
pyrimidine deoxyribonucleotide phosphorylation	PWY-7197	Metabolic-Clusters // Pyrimidine-Nucleotide-Salvage	Pathways // PYR-NUC-SYN	Generalized-Reactions // Nucleotide-Biosynthesis	FRAMES // Biosynthesis	THINGS // Pathways	 // Generalized-Reactions	 // FRAMES
pyrimidine deoxyribonucleotides biosynthesis from CTP	PWY-7210	Metabolic-Clusters // Pyrimidine-Nucleotide-Salvage	Pathways // PYR-NUC-SYN	Generalized-Reactions // Nucleotide-Biosynthesis	FRAMES // Biosynthesis	THINGS // Pathways	 // Generalized-Reactions	 // FRAMES
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	PWY-7184	Metabolic-Clusters // Pyrimid-Deoxyribonucleot-De-Novo-Biosyn	Pathways // Deoxyribonucleotide-Biosynthesis // Pyrimidine-De-Novo-Biosyn	Generalized-Reactions // Nucleotide-Biosynthesis // PYR-NUC-SYN	FRAMES // Biosynthesis // Nucleotide-Biosynthesis	THINGS // Pathways // Biosynthesis	 // Generalized-Reactions // Pathways	 // FRAMES // Generalized-Reactions
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II	PWY-7187	Pyrimid-Deoxyribonucleot-De-Novo-Biosyn	Deoxyribonucleotide-Biosynthesis // Pyrimidine-De-Novo-Biosyn	Nucleotide-Biosynthesis // PYR-NUC-SYN	Biosynthesis // Nucleotide-Biosynthesis	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	PWY-6545	Metabolic-Clusters // Pyrimid-Deoxyribonucleot-De-Novo-Biosyn	Pathways // Deoxyribonucleotide-Biosynthesis // Pyrimidine-De-Novo-Biosyn	Generalized-Reactions // Nucleotide-Biosynthesis // PYR-NUC-SYN	FRAMES // Biosynthesis // Nucleotide-Biosynthesis	THINGS // Pathways // Biosynthesis	 // Generalized-Reactions // Pathways	 // FRAMES // Generalized-Reactions
pyruvate fermentation to acetate and lactate II	PWY-5100	Pyruvate-Acetate-Fermentation // Pyruvate-Lactate-Fermentation // Super-Pathways	Acetate-Formation // Pyruvate-Degradation // Fermentation-to-Lactate // Pathways	Fermentation-to-Acids // Fermentation // Generalized-Reactions	Fermentation // Energy-Metabolism // FRAMES	Energy-Metabolism // Pathways // THINGS	Pathways // Generalized-Reactions // 	Generalized-Reactions // FRAMES // 
pyruvate fermentation to acetone	PWY-6588	Pyruvate-Degradation	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS
pyruvate fermentation to butanoate	CENTFERM-PWY	Acetyl-CoA-Butyrate // Pyruvate-Degradation	Fermentation-to-Acids // Fermentation	Fermentation // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
pyruvate fermentation to isobutanol (engineered)	PWY-7111	Alcohol-Biosynthesis // Pyruvate-Degradation	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS
pyruvate fermentation to propanoate I	P108-PWY	Pyruvate-Propanoate-Fermentation	Fermentation-to-propanoate // Pyruvate-Degradation	Fermentation-to-Acids // Fermentation	Fermentation // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
queuosine biosynthesis I (<i>de novo</i>)	PWY-6700	Queuosine-Biosynthesis	Nucleic-Acid-Processing	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES	THINGS
reductive TCA cycle I	P23-PWY	Reductive-TCA-Cycles	Autotrophic-CO2-Fixation	CO2-Fixation	C1-COMPOUNDS	Degradation	Pathways	Generalized-Reactions
reductive TCA cycle II	PWY-5392	Reductive-TCA-Cycles	Autotrophic-CO2-Fixation	CO2-Fixation	C1-COMPOUNDS	Degradation	Pathways	Generalized-Reactions
<i>S</i>-adenosyl-L-methionine salvage I	PWY-6151	S-adenosyl-L-methionine-Biosynthesis	C1-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Carriers-Biosynthesis // Cofactor-Biosynthesis	Cofactor-Biosynthesis // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I	PWY-4361	MTR-1P-Degradation	Methionine-Salvage // NUCLEO-DEG	METHIONINE-SYN // Degradation	IND-AMINO-ACID-SYN // Pathways	Amino-Acid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS
sitosterol degradation to androstenedione	PWY-6948	Steroids-Degradation	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis	PWY-6581	C40-Carotenoids-Biosynthesis	CAROTENOID-SYN // TETRATERPENOID-SYN	Pigment-Biosynthesis // Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
starch biosynthesis	PWY-622	GLYCOGEN-BIOSYN	Polysaccharides-Biosynthesis	Carbohydrates-Biosynthesis // Glycan-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
starch degradation III	PWY-6731	Starch-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
starch degradation V	PWY-6737	Starch-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
stearate biosynthesis II (bacteria and plants)	PWY-5989	Stearate-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
succinate fermentation to butanoate	PWY-5677	Acetyl-CoA-Butyrate	Fermentation-to-Acids	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES
sucrose biosynthesis I (from photosynthesis)	SUCSYN-PWY	Sucrose-Biosynthesis // Super-Pathways	Disaccharide-Biosynthesis // Pathways	CARBO-BIOSYNTHESIS // Generalized-Reactions	Carbohydrates-Biosynthesis // FRAMES	Biosynthesis // THINGS	Pathways // 	Generalized-Reactions // 
sucrose biosynthesis III	PWY-7347	Sucrose-Biosynthesis	Disaccharide-Biosynthesis	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
sucrose degradation III (sucrose invertase)	PWY-621	SUCROSE-DEG	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
sucrose degradation IV (sucrose phosphorylase)	PWY-5384	SUCROSE-DEG	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
sulfoquinovose degradation I	PWY-7446	Sulfoquinovose-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis	KDO-NAGLIPASYN-PWY	Lipid-Biosynthesis // Lipopolysaccharide-Biosynthesis // Super-Pathways	Biosynthesis // Cell-Structure-Biosynthesis // Glycan-Pathways // Pathways	Pathways // Biosynthesis // Generalized-Reactions	Generalized-Reactions // Pathways // FRAMES	FRAMES // Generalized-Reactions // THINGS	THINGS // FRAMES // 	 // THINGS
superpathway of (<i>R,R</i>)-butanediol biosynthesis	P125-PWY	Butanediol-Biosynthesis // Super-Pathways	Other-biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
superpathway of 2,3-butanediol biosynthesis	PWY-6396	Butanediol-Biosynthesis // Super-Pathways	Other-biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
superpathway of 5-aminoimidazole ribonucleotide biosynthesis	PWY-6277	AIR-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I	PWY-7229	Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II	PWY-6126	Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of adenosylcobalamin salvage from cobinamide I	COBALSYN-PWY	B12-Salvage-From-Cobinamide // Super-Pathways	Cobamide-Salvage // Pathways	Cobalamin-Biosynthesis // Generalized-Reactions	Enzyme-Cofactor-Biosynthesis // FRAMES	Cofactor-Biosynthesis // THINGS	Biosynthesis // 	Pathways // 
superpathway of adenosylcobalamin salvage from cobinamide II	PWY-6269	B12-Salvage-From-Cobinamide // Super-Pathways	Cobamide-Salvage // Pathways	Cobalamin-Biosynthesis // Generalized-Reactions	Enzyme-Cofactor-Biosynthesis // FRAMES	Cofactor-Biosynthesis // THINGS	Biosynthesis // 	Pathways // 
superpathway of aerobic toluene degradation	PWY-5183	Super-Pathways // TOLUENE-DEG	Pathways // AROMATIC-COMPOUNDS-DEGRADATION	Generalized-Reactions // Degradation	FRAMES // Pathways	THINGS // Generalized-Reactions	 // FRAMES	 // THINGS
superpathway of arginine and polyamine biosynthesis	ARG+POLYAMINE-SYN	Polyamine-Biosynthesis // Super-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
superpathway of aromatic amino acid biosynthesis	COMPLETE-ARO-PWY	IND-AMINO-ACID-SYN // Super-Pathways	Amino-Acid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
superpathway of bacteriochlorophyll <i>a</i> biosynthesis	PWY-5529	Chlorophyll-a-Biosynthesis // Super-Pathways	Chlorophyll-Biosynthesis // Pathways	Pigment-Biosynthesis // Porphyrin-Compounds-Biosynthesis // Generalized-Reactions	SECONDARY-METABOLITE-BIOSYNTHESIS // Tetrapyrrole-Biosynthesis // FRAMES	Biosynthesis // THINGS	Pathways // 	Generalized-Reactions // 
superpathway of &beta;-D-glucuronosides degradation	GLUCUROCAT-PWY	D-Glucuronate-Degradation // Super-Pathways	SUGAR-ACIDS-DEG // Pathways	CARBOXYLATES-DEG // Sugars-And-Polysaccharides-Degradation // Generalized-Reactions	Degradation // Carbohydrates-Degradation // FRAMES	Pathways // Degradation // THINGS	Generalized-Reactions // Pathways // 	FRAMES // Generalized-Reactions // 
superpathway of branched chain amino acid biosynthesis	BRANCHED-CHAIN-AA-SYN-PWY	IND-AMINO-ACID-SYN // Super-Pathways	Amino-Acid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
superpathway of C1 compounds oxidation to CO<sub>2</sub>	PWY-1882	C1-COMPOUNDS // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
superpathway of chorismate metabolism	ALL-CHORISMATE-PWY	Super-Pathways	Pathways	Generalized-Reactions	FRAMES	THINGS		
superpathway of <i>Clostridium acetobutylicum</i> acidogenic fermentation	PWY-6590	Pyruvate-Degradation // Super-Pathways	Fermentation // Pathways	Energy-Metabolism // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
superpathway of coenzyme A biosynthesis I (bacteria)	PANTOSYN-PWY	CoA-Biosynthesis // Super-Pathways // Vitamin-Biosynthesis	Carriers-Biosynthesis // Pathways // Cofactor-Biosynthesis	Cofactor-Biosynthesis // Generalized-Reactions // Biosynthesis	Biosynthesis // FRAMES // Pathways	Pathways // THINGS // Generalized-Reactions	Generalized-Reactions //  // FRAMES	FRAMES //  // THINGS
superpathway of D-glucarate and D-galactarate degradation	GLUCARGALACTSUPER-PWY	Super-Pathways	Pathways	Generalized-Reactions	FRAMES	THINGS		
superpathway of demethylmenaquinol-6 biosynthesis I	PWY-5860	Demethylmenaquinol-6-Biosynthesis // Super-Pathways	Demethylmenaquinone-Biosynthesis // Pathways	Quinone-Biosynthesis // Generalized-Reactions	Electron-Carrier-Biosynthesis // FRAMES	Carriers-Biosynthesis // THINGS	Cofactor-Biosynthesis // 	Biosynthesis // 
superpathway of demethylmenaquinol-6 biosynthesis II	PWY-7373	Demethylmenaquinol-6-Biosynthesis // Super-Pathways	Demethylmenaquinone-Biosynthesis // Pathways	Quinone-Biosynthesis // Generalized-Reactions	Electron-Carrier-Biosynthesis // FRAMES	Carriers-Biosynthesis // THINGS	Cofactor-Biosynthesis // 	Biosynthesis // 
superpathway of demethylmenaquinol-8 biosynthesis I	PWY-5861	Demethylmenaquinol-8-Biosynthesis // Super-Pathways	Demethylmenaquinone-Biosynthesis // Pathways	Quinone-Biosynthesis // Generalized-Reactions	Electron-Carrier-Biosynthesis // FRAMES	Carriers-Biosynthesis // THINGS	Cofactor-Biosynthesis // 	Biosynthesis // 
superpathway of demethylmenaquinol-9 biosynthesis	PWY-5862	Demethylmenaquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES	Cofactor-Biosynthesis // THINGS	Biosynthesis // 	Pathways // 
superpathway of fatty acid biosynthesis initiation	FASYN-INITIAL-PWY	Fatty-Acid-Biosyn-Initiation // Super-Pathways	Fatty-acid-biosynthesis // Pathways	Lipid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of fucose and rhamnose degradation	FUC-RHAMCAT-PWY	Super-Pathways	Pathways	Generalized-Reactions	FRAMES	THINGS		
superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	PWY-7323	GDP-Sugar-Biosynthesis // Super-Pathways	SUGAR-NUCLEOTIDES // Pathways	CARBO-BIOSYNTHESIS // Generalized-Reactions	Carbohydrates-Biosynthesis // FRAMES	Biosynthesis // THINGS	Pathways // 	Generalized-Reactions // 
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	PWY-5121	DITERPENOID-SYN // GGPP-Biosynthesis // Super-Pathways	Terpenoid-Biosynthesis // All-Trans-Polyprenyl-Biosynthesis // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Polyprenyl-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	PWY-5910	DITERPENOID-SYN // GGPP-Biosynthesis // Super-Pathways	Terpenoid-Biosynthesis // All-Trans-Polyprenyl-Biosynthesis // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Polyprenyl-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of glucose and xylose degradation	PWY-6901	Sugars-And-Polysaccharides-Degradation // Super-Pathways	Carbohydrates-Degradation // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
superpathway of glycerol degradation to 1,3-propanediol	GOLPDLCAT-PWY	GLYCEROL-DEG // Super-Pathways	SUGAR-ALCOHOLS-DEG // Pathways	Alcohol-Degradation // Carbohydrates-Degradation // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of glycol metabolism and degradation	GLYCOL-GLYOXDEG-PWY	Alcohol-Degradation // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
superpathway of glycolysis and the Entner-Doudoroff pathway	GLYCOLYSIS-E-D	Energy-Metabolism // Super-Pathways	Pathways	Generalized-Reactions	FRAMES	THINGS		
superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	GLYCOLYSIS-TCA-GLYOX-BYPASS	Energy-Metabolism // Super-Pathways	Pathways	Generalized-Reactions	FRAMES	THINGS		
superpathway of glyoxylate bypass and TCA	TCA-GLYOX-BYPASS	Super-Pathways	Pathways	Generalized-Reactions	FRAMES	THINGS		
superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I	PWY-7228	Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II	PWY-6125	Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of heme <i>b</i> biosynthesis from glutamate	PWY-5918	Heme-b-Biosynthesis // Super-Pathways	HEME-SYN // Pathways	Enzyme-Cofactor-Biosynthesis // Porphyrin-Compounds-Biosynthesis // Generalized-Reactions	Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis // FRAMES	Biosynthesis // THINGS	Pathways // 	Generalized-Reactions // 
superpathway of heme <i>b</i> biosynthesis from glycine	PWY-5920	Heme-b-Biosynthesis // Super-Pathways	HEME-SYN // Pathways	Enzyme-Cofactor-Biosynthesis // Porphyrin-Compounds-Biosynthesis // Generalized-Reactions	Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis // FRAMES	Biosynthesis // THINGS	Pathways // 	Generalized-Reactions // 
superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III	PWY0-1415	Heme-b-Biosynthesis // Super-Pathways	HEME-SYN // Pathways	Enzyme-Cofactor-Biosynthesis // Porphyrin-Compounds-Biosynthesis // Generalized-Reactions	Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis // FRAMES	Biosynthesis // THINGS	Pathways // 	Generalized-Reactions // 
superpathway of hexitol degradation (bacteria)	HEXITOLDEGSUPER-PWY	SUGAR-ALCOHOLS-DEG // Super-Pathways	Alcohol-Degradation // Carbohydrates-Degradation // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
superpathway of hexuronide and hexuronate degradation	GALACT-GLUCUROCAT-PWY	Super-Pathways	Pathways	Generalized-Reactions	FRAMES	THINGS		
superpathway of histidine, purine, and pyrimidine biosynthesis	PRPP-PWY	Super-Pathways	Pathways	Generalized-Reactions	FRAMES	THINGS		
superpathway of Kdo<sub>2</sub>-lipid A biosynthesis	LPSSYN-PWY	Lipid-Biosynthesis // Super-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
superpathway of L-alanine biosynthesis	PWY0-1061	ALANINE-SYN // Super-Pathways	IND-AMINO-ACID-SYN // Pathways	Amino-Acid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of L-arginine and L-ornithine degradation	ORNARGDEG-PWY	ARGININE-DEG // Super-Pathways	Proteinogenic-Amino-Acids-Degradation // Pathways	Amino-Acid-Degradation // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	ARGDEG-PWY	ARGININE-DEG // Super-Pathways	Proteinogenic-Amino-Acids-Degradation // Pathways	Amino-Acid-Degradation // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of L-aspartate and L-asparagine biosynthesis	ASPASN-PWY	IND-AMINO-ACID-SYN // Super-Pathways	Amino-Acid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
superpathway of L-isoleucine biosynthesis I	PWY-3001	ISOLEUCINE-SYN // Super-Pathways	IND-AMINO-ACID-SYN // Pathways	Amino-Acid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	P4-PWY	IND-AMINO-ACID-SYN // Super-Pathways	Amino-Acid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
superpathway of L-methionine biosynthesis (by sulfhydrylation)	PWY-5345	Methionine-De-novo-Biosynthesis // Super-Pathways	METHIONINE-SYN // Pathways	IND-AMINO-ACID-SYN // Generalized-Reactions	Amino-Acid-Biosynthesis // FRAMES	Biosynthesis // THINGS	Pathways // 	Generalized-Reactions // 
superpathway of L-methionine biosynthesis (transsulfuration)	PWY-5347	Methionine-De-novo-Biosynthesis // Super-Pathways	METHIONINE-SYN // Pathways	IND-AMINO-ACID-SYN // Generalized-Reactions	Amino-Acid-Biosynthesis // FRAMES	Biosynthesis // THINGS	Pathways // 	Generalized-Reactions // 
superpathway of L-phenylalanine biosynthesis	PWY-6628	PHENYLALANINE-SYN // Super-Pathways	IND-AMINO-ACID-SYN // Pathways	Amino-Acid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
superpathway of L-serine and glycine biosynthesis I	SER-GLYSYN-PWY	IND-AMINO-ACID-SYN // Super-Pathways	Amino-Acid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
superpathway of L-threonine biosynthesis	THRESYN-PWY	Super-Pathways // THREONINE-BIOSYNTHESIS	Pathways // IND-AMINO-ACID-SYN	Generalized-Reactions // Amino-Acid-Biosynthesis	FRAMES // Biosynthesis	THINGS // Pathways	 // Generalized-Reactions	 // FRAMES
superpathway of L-threonine metabolism	THREOCAT-PWY	Super-Pathways // THREONINE-DEG	Pathways // Proteinogenic-Amino-Acids-Degradation	Generalized-Reactions // Amino-Acid-Degradation	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions	 // FRAMES
superpathway of L-tryptophan biosynthesis	PWY-6629	Super-Pathways // TRYPTOPHAN-BIOSYNTHESIS	Pathways // IND-AMINO-ACID-SYN	Generalized-Reactions // Amino-Acid-Biosynthesis	FRAMES // Biosynthesis	THINGS // Pathways	 // Generalized-Reactions	 // FRAMES
superpathway of L-tyrosine biosynthesis	PWY-6630	Super-Pathways // TYROSINE-SYN	Pathways // IND-AMINO-ACID-SYN	Generalized-Reactions // Amino-Acid-Biosynthesis	FRAMES // Biosynthesis	THINGS // Pathways	 // Generalized-Reactions	 // FRAMES
superpathway of menaquinol-10 biosynthesis	PWY-5896	Menaquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES	Cofactor-Biosynthesis // THINGS	Biosynthesis // 	Pathways // 
superpathway of menaquinol-11 biosynthesis	PWY-5897	Menaquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES	Cofactor-Biosynthesis // THINGS	Biosynthesis // 	Pathways // 
superpathway of menaquinol-12 biosynthesis	PWY-5898	Menaquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES	Cofactor-Biosynthesis // THINGS	Biosynthesis // 	Pathways // 
superpathway of menaquinol-13 biosynthesis	PWY-5899	Menaquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES	Cofactor-Biosynthesis // THINGS	Biosynthesis // 	Pathways // 
superpathway of menaquinol-6 biosynthesis	PWY-5850	Menaquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES	Cofactor-Biosynthesis // THINGS	Biosynthesis // 	Pathways // 
superpathway of menaquinol-7 biosynthesis	PWY-5840	Menaquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES	Cofactor-Biosynthesis // THINGS	Biosynthesis // 	Pathways // 
superpathway of menaquinol-8 biosynthesis I	PWY-5838	Menaquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES	Cofactor-Biosynthesis // THINGS	Biosynthesis // 	Pathways // 
superpathway of menaquinol-8 biosynthesis II	PWY-6263	Menaquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES	Cofactor-Biosynthesis // THINGS	Biosynthesis // 	Pathways // 
superpathway of menaquinol-9 biosynthesis	PWY-5845	Menaquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES	Cofactor-Biosynthesis // THINGS	Biosynthesis // 	Pathways // 
superpathway of methylglyoxal degradation	METHGLYUT-PWY	Aldehyde-Degradation // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	PWY-6404	Carbohydrates-Biosynthesis // Cell-Wall-Biosynthesis // Glycan-Pathways // Super-Pathways	Biosynthesis // Cell-Structure-Biosynthesis // Pathways	Pathways // Biosynthesis // Generalized-Reactions	Generalized-Reactions // Pathways // FRAMES	FRAMES // Generalized-Reactions // THINGS	THINGS // FRAMES // 	 // THINGS
superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation	GLCMANNANAUT-PWY	AMINE-DEG // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
superpathway of <i>N</i>-acetylneuraminate degradation	P441-PWY	CARBOXYLATES-DEG // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
